date,GDI,GDP
1947-01-01,2008.749,2034.45
1947-04-01,2006.266,2029.024
1947-07-01,2008.558,2024.834
1947-10-01,2027.823,2056.508
1948-01-01,2082.178,2087.442
1948-04-01,2130.367,2121.899
1948-07-01,2132.098,2134.056
1948-10-01,2142.972,2136.44
1949-01-01,2100.469,2107.001
1949-04-01,2094.488,2099.814
1949-07-01,2105.751,2121.493
1949-10-01,2077.303,2103.688
1950-01-01,2160.503,2186.365
1950-04-01,2249.556,2253.045
1950-07-01,2335.324,2340.112
1950-10-01,2380.081,2384.92
1951-01-01,2392.38,2417.311
1951-04-01,2434.614,2459.196
1951-07-01,2477.294,2509.88
1951-10-01,2499.127,2515.408
1952-01-01,2515.668,2542.286
1952-04-01,2530.642,2547.762
1952-07-01,2554.264,2566.153
1952-10-01,2632.745,2650.431
1953-01-01,2679.47,2699.699
1953-04-01,2698.114,2720.566
1953-07-01,2680.569,2705.258
1953-10-01,2626.719,2664.302
1954-01-01,2632.372,2651.566
1954-04-01,2637.112,2654.456
1954-07-01,2660.775,2684.434
1954-10-01,2717.188,2736.96
1955-01-01,2791.761,2815.134
1955-04-01,2848.763,2860.942
1955-07-01,2886.134,2899.578
1955-10-01,2908.155,2916.985
1956-01-01,2910.857,2905.656
1956-04-01,2940.614,2929.666
1956-07-01,2943.78,2927.034
1956-10-01,2995.187,2975.209
1957-01-01,3002.53,2994.259
1957-04-01,2999.968,2987.699
1957-07-01,3012.858,3016.979
1957-10-01,2978.458,2985.775
1958-01-01,2912.058,2908.281
1958-04-01,2920.767,2927.395
1958-07-01,2988.806,2995.112
1958-10-01,3058.325,3065.141
1959-01-01,3122.864,3123.978
1959-04-01,3208.047,3194.429
1959-07-01,3181.699,3196.683
1959-10-01,3203.423,3205.79
1960-01-01,3274.677,3277.847
1960-04-01,3274.123,3260.177
1960-07-01,3274.245,3276.133
1960-10-01,3256.473,3234.087
1961-01-01,3263.104,3255.914
1961-04-01,3318.183,3311.181
1961-07-01,3371.673,3374.742
1961-10-01,3451.565,3440.924
1962-01-01,3493.404,3502.298
1962-04-01,3532.22,3533.947
1962-07-01,3567.961,3577.362
1962-10-01,3609.767,3589.128
1963-01-01,3641.031,3628.306
1963-04-01,3694.032,3669.02
1963-07-01,3743.907,3749.681
1963-10-01,3776.417,3774.264
1964-01-01,3839.313,3853.835
1964-04-01,3896.095,3895.793
1964-07-01,3951.328,3956.657
1964-10-01,3989.3,3968.878
1965-01-01,4078.297,4064.915
1965-04-01,4130.313,4116.267
1965-07-01,4188.585,4207.782
1965-10-01,4280.218,4304.731
1966-01-01,4374.032,4409.518
1966-04-01,4403.178,4424.581
1966-07-01,4433.521,4462.053
1966-10-01,4472.761,4498.66
1967-01-01,4498.858,4538.498
1967-04-01,4523.614,4541.28
1967-07-01,4571.156,4584.246
1967-10-01,4617.266,4618.812
1968-01-01,4685.771,4713.013
1968-04-01,4756.474,4791.758
1968-07-01,4821.033,4828.892
1968-10-01,4853.675,4847.885
1969-01-01,4900.955,4923.76
1969-04-01,4930.791,4938.728
1969-07-01,4964.122,4971.349
1969-10-01,4953.738,4947.104
1970-01-01,4920.319,4939.759
1970-04-01,4921.2,4946.77
1970-07-01,4962.108,4992.357
1970-10-01,4915.506,4938.857
1971-01-01,5013.517,5072.996
1971-04-01,5046.287,5100.447
1971-07-01,5089.04,5142.422
1971-10-01,5153.41,5154.547
1972-01-01,5228.109,5249.337
1972-04-01,5295.166,5368.485
1972-07-01,5381.869,5419.184
1972-10-01,5520.384,5509.926
1973-01-01,5618.943,5646.286
1973-04-01,5649.718,5707.755
1973-07-01,5667.916,5677.738
1973-10-01,5727.532,5731.632
1974-01-01,5682.117,5682.353
1974-04-01,5659.786,5695.859
1974-07-01,5629.119,5642.025
1974-10-01,5562.075,5620.126
1975-01-01,5498.836,5551.713
1975-04-01,5544.391,5591.382
1975-07-01,5657.136,5687.087
1975-10-01,5714.18,5763.665
1976-01-01,5832.79,5893.276
1976-04-01,5869.432,5936.515
1976-07-01,5914.149,5969.089
1976-10-01,5932.679,6012.356
1977-01-01,5998.526,6083.391
1977-04-01,6139.214,6201.659
1977-07-01,6252.151,6313.559
1977-10-01,6288.213,6313.697
1978-01-01,6325.827,6333.848
1978-04-01,6516.4,6578.605
1978-07-01,6563.753,6644.754
1978-10-01,6627.318,6734.069
1979-01-01,6679.662,6746.176
1979-04-01,6646.497,6753.389
1979-07-01,6654.585,6803.558
1979-10-01,6680.643,6820.572
1980-01-01,6674.98,6842.024
1980-04-01,6567.002,6701.046
1980-07-01,6616.294,6693.082
1980-10-01,6770.22,6817.903
1981-01-01,6818.901,6951.495
1981-04-01,6821.736,6899.98
1981-07-01,6919.623,6982.609
1981-10-01,6848.681,6906.529
1982-01-01,6794.507,6799.233
1982-04-01,6819.127,6830.251
1982-07-01,6792.63,6804.139
1982-10-01,6762.848,6806.857
1983-01-01,6835.558,6896.561
1983-04-01,6950.444,7053.5
1983-07-01,7046.807,7194.504
1983-10-01,7210.97,7344.597
1984-01-01,7407.687,7488.167
1984-04-01,7528.554,7617.547
1984-07-01,7607.976,7690.985
1984-10-01,7691.551,7754.117
1985-01-01,7756.94,7829.26
1985-04-01,7812.177,7898.194
1985-07-01,7906.89,8018.809
1985-10-01,7951.151,8078.415
1986-01-01,8029.722,8153.829
1986-04-01,8052.161,8190.552
1986-07-01,8102.679,8268.935
1986-10-01,8166.672,8313.338
1987-01-01,8251.177,8375.274
1987-04-01,8382.813,8465.63
1987-07-01,8504.808,8539.075
1987-10-01,8618.546,8685.694
1988-01-01,8721.42,8730.569
1988-04-01,8821.826,8845.28
1988-07-01,8901.646,8897.107
1988-10-01,9022.927,9015.661
1989-01-01,9078.216,9107.314
1989-04-01,9062.301,9176.827
1989-07-01,9099.817,9244.816
1989-10-01,9109.922,9263.033
1990-01-01,9197.01,9364.259
1990-04-01,9248.078,9398.243
1990-07-01,9241.309,9404.494
1990-10-01,9198.276,9318.876
1991-01-01,9179.178,9275.276
1991-04-01,9206.043,9347.597
1991-07-01,9231.669,9394.834
1991-10-01,9263.843,9427.581
1992-01-01,9422.624,9540.444
1992-04-01,9501.151,9643.893
1992-07-01,9531.253,9739.185
1992-10-01,9620.988,9840.753
1993-01-01,9587.601,9857.185
1993-04-01,9703.129,9914.565
1993-07-01,9722.562,9961.873
1993-10-01,9911.347,10097.362
1994-01-01,9966.22,10195.338
1994-04-01,10120.974,10333.495
1994-07-01,10214.985,10393.898
1994-10-01,10337.146,10512.962
1995-01-01,10380.411,10550.251
1995-04-01,10440.86,10581.723
1995-07-01,10569.551,10671.738
1995-10-01,10638.489,10744.203
1996-01-01,10757.109,10824.674
1996-04-01,10913.576,11005.217
1996-07-01,11014.26,11103.935
1996-10-01,11150.408,11219.238
1997-01-01,11273.577,11291.665
1997-04-01,11419.384,11479.33
1997-07-01,11601.921,11622.911
1997-10-01,11759.065,11722.722
1998-01-01,11881.798,11839.876
1998-04-01,12049.286,11949.492
1998-07-01,12214.32,12099.191
1998-10-01,12331.554,12294.737
1999-01-01,12503.636,12410.778
1999-04-01,12566.361,12514.408
1999-07-01,12692.367,12679.977
1999-10-01,12880.228,12888.281
2000-01-01,13135.145,12935.252
2000-04-01,13222.257,13170.749
2000-07-01,13340.329,13183.89
2000-10-01,13338.31,13262.25
2001-01-01,13489.485,13219.251
2001-04-01,13464.255,13301.394
2001-07-01,13389.82,13248.142
2001-10-01,13282.292,13284.881
2002-01-01,13445.293,13394.91
2002-04-01,13571.149,13477.356
2002-07-01,13609.13,13531.741
2002-10-01,13708.832,13549.421
2003-01-01,13701.447,13619.434
2003-04-01,13814.441,13741.107
2003-07-01,13963.184,13970.157
2003-10-01,14080.614,14131.379
2004-01-01,14200.007,14212.34
2004-04-01,14360.92,14323.017
2004-07-01,14535.273,14457.832
2004-10-01,14614.116,14605.595
2005-01-01,14741.398,14767.846
2005-04-01,14882.417,14839.707
2005-07-01,14995.25,14956.291
2005-10-01,15223.572,15041.232
2006-01-01,15459.919,15244.088
2006-04-01,15519.378,15281.525
2006-07-01,15579.212,15304.517
2006-10-01,15611.507,15433.643
2007-01-01,15609.619,15478.956
2007-04-01,15686.201,15577.779
2007-07-01,15556.02,15671.605
2007-10-01,15561.451,15767.146
2008-01-01,15555.262,15702.906
2008-04-01,15524.884,15792.773
2008-07-01,15505.317,15709.562
2008-10-01,15152.318,15366.607
2009-01-01,14897.489,15187.475
2009-04-01,14949.577,15161.772
2009-07-01,15010.534,15216.647
2009-10-01,15236.788,15379.155
2010-01-01,15324.504,15456.059
2010-04-01,15472.751,15605.628
2010-07-01,15708.056,15726.282
2010-10-01,15746.706,15807.995
2011-01-01,15762.549,15769.911
2011-04-01,15878.406,15876.839
2011-07-01,15913.303,15870.684
2011-10-01,16061.732,16048.702
2012-01-01,16402.173,16179.968
2012-04-01,16464.495,16253.726
2012-07-01,16340.697,16282.151
2012-10-01,16564.033,16300.035
2013-01-01,16554.282,16441.485
2013-04-01,16661.877,16464.402
2013-07-01,16671.996,16594.743
2013-10-01,16777.389,16712.76
2014-01-01,16862.923,16654.247
2014-04-01,17106.519,16868.109
2014-07-01,17305.06,17064.616
2014-10-01,17445.682,17141.235
2015-01-01,17552.649,17280.647
2015-04-01,17613.973,17380.875
2015-07-01,17634.811,17437.08
2015-10-01,17656.165,17462.579
2016-01-01,17760.49,17565.465
2016-04-01,17673.635,17618.581
2016-07-01,17781.323,17724.489
2016-10-01,17860.249,17812.56
2017-01-01,18000.262,17889.094
2017-04-01,18135.159,17979.218
2017-07-01,18226.03,18127.994
2017-10-01,18373.661,18310.3
2018-01-01,18534.925,18437.127
2018-04-01,18579.443,18565.697
2018-07-01,18819.824,18699.748
2018-10-01,18914.653,18733.741
2019-01-01,19007.211,18835.411
2019-04-01,19065.218,18962.175
2019-07-01,19139.557,19130.932
2019-10-01,19308.703,19215.691
2020-01-01,19291.416,18989.877
2020-04-01,17605.067,17378.712
2020-07-01,18571.262,18743.72
2020-10-01,19323.984,18924.262
2021-01-01,19417.553,19216.224
2021-04-01,19564.82,19544.248
2021-07-01,19784.132,19672.594
2021-10-01,20108.233,20006.181
2022-01-01,20147.177,19924.088
2022-04-01,20107.48,19895.271
2022-07-01,20244.635,20054.663
2022-10-01,20074.793,20182.491
2023-01-01,19982.708,20282.76
